CustomerID,Age,Gender,ContractType,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,average_monthly_charges,customer_lifetime_value
8e2ac3ff-3c5d-4a42-8dd8-af09451b6267,46,Female,Two year,Yes,Fiber optic,13,No,IMPS/NEFT,240.49067814630678,2913.2913002051155,No,54.670777932677986,710.7201131248138
96f01335-c5ab-48da-a435-4021392a9fc4,46,Female,Two year,No,Fiber optic,45,No,UPI,211.89812170679647,9096.153535357067,No,62.531257009189275,2813.9065654135175
4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,36,Male,One year,No,No,4,Yes,check/DD,489.40944869416666,1032.7052080057829,Yes,70.12345852286333,280.4938340914533
4d4f6814-d385-4240-92a2-f8390acfc6ac,32,Male,One year,No,No,18,Yes,Card,562.2964841436954,6463.180568929298,No,74.37184304704337,1338.6931748467807
eb1313b7-95d1-4b6d-ae9a-e156325cba4e,58,Male,One year,No,DSL,50,No,check/DD,189.032991144534,4747.929909180736,No,42.2375716963119,2111.8785848155953
186b2880-ab54-4a15-a69d-01ff1634725b,30,Female,Month-to-month,Yes,DSL,52,Yes,check/DD,662.8316131327446,13805.572524008388,Yes,96.12951671707371,4998.734869287833
0b070a68-c8f2-47a3-a221-3776427ae472,66,Female,Two year,,No,66,Yes,Card,559.6515202792261,17820.70045398233,No,62.21492895401375,4106.185310964907
4648bbe8-f84c-47a9-b6cf-d2d52cd6e8df,43,Female,Month-to-month,No,No,11,No,IMPS/NEFT,272.6577395947865,778.5776332046102,No,30.82459134006494,339.07050474071434
9399ad15-a37c-41c5-842b-266b1b02fa24,41,Male,One year,Yes,Fiber optic,54,Yes,UPI,387.31179354193387,4907.2391129197395,No,40.806232318610746,2203.5365452049805
7f702973-7aca-4b76-a2ec-f870bb15894a,68,Female,Two year,Yes,Fiber optic,36,Yes,IMPS/NEFT,419.6066701259155,8378.737388555874,No,75.45253179291532,2716.2911445449517
98e52499-218c-4e1c-9e37-4f7ac42cbc39,60,Male,Two year,No,Fiber optic,27,Yes,Card,335.75657761759777,3948.7391523843266,Yes,64.24307018130953,1734.5628948953574
